depth,min_samples_split,val_accuracy,val_f1
20,5,0.8131868131868132,0.8282828282828283
20,7,0.8241758241758241,0.84
20,10,0.8351648351648352,0.8514851485148515
20,20,0.8571428571428571,0.8737864077669902
20,30,0.8461538461538461,0.8627450980392157
20,40,0.8461538461538461,0.86
22,2,0.8131868131868132,0.8282828282828283
22,5,0.8131868131868132,0.8282828282828283
22,7,0.8241758241758241,0.84
22,10,0.8351648351648352,0.8514851485148515
22,20,0.8571428571428571,0.8737864077669902
22,30,0.8461538461538461,0.8627450980392157
22,40,0.8461538461538461,0.86
24,2,0.8131868131868132,0.8282828282828283
24,5,0.8131868131868132,0.8282828282828283
24,7,0.8241758241758241,0.84
24,10,0.8351648351648352,0.8514851485148515
24,20,0.8571428571428571,0.8737864077669902
24,30,0.8461538461538461,0.8627450980392157
24,40,0.8461538461538461,0.86
26,2,0.8131868131868132,0.8282828282828283
26,5,0.8131868131868132,0.8282828282828283
26,7,0.8241758241758241,0.84
26,10,0.8351648351648352,0.8514851485148515
26,20,0.8571428571428571,0.8737864077669902
26,30,0.8461538461538461,0.8627450980392157
26,40,0.8461538461538461,0.86
28,2,0.8131868131868132,0.8282828282828283
28,5,0.8131868131868132,0.8282828282828283
28,7,0.8241758241758241,0.84
28,10,0.8351648351648352,0.8514851485148515
28,20,0.8571428571428571,0.8737864077669902
28,30,0.8461538461538461,0.8627450980392157
28,40,0.8461538461538461,0.86
30,2,0.8131868131868132,0.8282828282828283
30,5,0.8131868131868132,0.8282828282828283
30,7,0.8241758241758241,0.84
30,10,0.8351648351648352,0.8514851485148515
30,20,0.8571428571428571,0.8737864077669902
30,30,0.8461538461538461,0.8627450980392157
30,40,0.8461538461538461,0.86

TEST,,0.8324324324324325,0.8442211055276382
